benchmark,mds-basic,mds-trans,mis-basic,mis-trans
grid3×1,"time：0.000
results：2","time：0.000
results：2","time：0.000
results：2","time：0.000
results：2"
grid3×2,"time：0.000
results：7","time：0.000
results：7","time：0.000
results：4","time：0.000
results：4"
grid3×3,"time：0.000
results：16","time：0.000
results：16","time：0.000
results：10","time：0.000
results：10"
grid3×4,"time：0.000
results：53","time：0.000
results：53","time：0.000
results：18","time：0.000
results：18"
grid3×5,"time：0.010
results：154","time：0.010
results：154","time：0.000
results：38","time：0.000
results：38"
grid3×6,"time：0.170
results：436","time：0.120
results：436","time：0.010
results：78","time：0.000
results：78"
grid3×7,"time：1.950
results：1268","time：1.780
results：1268","time：0.020
results：156","time：0.000
results：156"
grid3×8,"time：26.460
results：3660","time：32.770
results：3660","time：0.130
results：320","time：0.000
results：320"
grid3×9,"time：184.210
results：10610","time：722.400
results：10610","time：0.520
results：654","time：0.000
results：654"
grid3×10,"time：1307.190
results：30744","time：timeout
results：-","time：3.350
results：1326","time：0.000
results：1326"
grid3×11,"time：timeout
results：-","time：timeout
results：-","time：23.940
results：2706","time：0.010
results：2706"
grid3×12,"time：timeout
results：-","time：timeout
results：-","time：114.410
results：5518","time：0.020
results：5518"
grid3×13,"time：timeout
results：-","time：timeout
results：-","time：582.700
results：11228","time：0.060
results：11228"
grid3×14,"time：timeout
results：-","time：timeout
results：-","time：timeout
results：-","time：0.220
results：22884"
grid3×15,"time：timeout
results：-","time：1728.790
results：-","time：timeout
results：-","time：0.890
results：46634"
grid3×16,"time：timeout
results：-","time：813.060
results：-","time：timeout
results：-","time：3.540
results：94978"
grid3×17,"time：timeout
results：-","time：809.520
results：-","time：timeout
results：-","time：17.940
results：193518"
grid3×18,"time：timeout
results：-","time：848.280
results：-","time：timeout
results：-","time：102.840
results：394286"
grid3×19,"time：timeout
results：-","time：893.070
results：-","time：timeout
results：-","time：536.900
results：803220"
grid3×20,"time：timeout
results：-","time：929.020
results：-","time：timeout
results：-","time：timeout
results：-"
grid3×21,"time：timeout
results：-","time：971.670
results：-","time：timeout
results：-","time：timeout
results：-"
grid3×22,"time：timeout
results：-","time：1025.120
results：-","time：timeout
results：-","time：timeout
results：-"
grid3×23,"time：timeout
results：-","time：1083.790
results：-","time：timeout
results：-","time：timeout
results：-"
grid3×24,"time：timeout
results：-","time：1091.650
results：-","time：timeout
results：-","time：timeout
results：-"
grid3×25,"time：timeout
results：-","time：1101.470
results：-","time：timeout
results：-","time：timeout
results：-"
