benchmark,mds-basic,mds-trans,mis-basic,mis-trans
grid4×1,"time：0.000
results：4","time：0.000
results：4","time：0.000
results：3","time：0.000
results：3"
grid4×2,"time：0.000
results：18","time：0.000
results：18","time：0.000
results：6","time：0.000
results：6"
grid4×3,"time：0.000
results：53","time：0.000
results：53","time：0.000
results：18","time：0.000
results：18"
grid4×4,"time：0.040
results：306","time：0.010
results：306","time：0.000
results：42","time：0.000
results：42"
grid4×5,"time：1.380
results：1167","time：0.030
results：1167","time：0.010
results：108","time：0.000
results：108"
grid4×6,"time：45.490
results：4939","time：0.210
results：4939","time：0.080
results：274","time：0.000
results：274"
grid4×7,"time：614.960
results：21313","time：1.600
results：21313","time：0.940
results：692","time：0.010
results：692"
grid4×8,"time：timeout
results：-","time：27.420
results：88161","time：7.400
results：1754","time：0.020
results：1754"
grid4×9,"time：timeout
results：-","time：427.660
results：376516","time：92.720
results：4442","time：0.120
results：4442"
grid4×10,"time：timeout
results：-","time：timeout
results：-","time：693.690
results：11248","time：0.390
results：11248"
grid4×11,"time：timeout
results：-","time：timeout
results：-","time：timeout
results：-","time：1.670
results：28488"
grid4×12,"time：timeout
results：-","time：timeout
results：-","time：timeout
results：-","time：10.280
results：72146"
grid4×13,"time：timeout
results：-","time：timeout
results：-","time：timeout
results：-","time：51.040
results：182712"
grid4×14,"time：timeout
results：-","time：timeout
results：-","time：timeout
results：-","time：1313.390
results：462728"
grid4×15,"time：timeout
results：-","time：timeout
results：-","time：timeout
results：-","time：timeout
results：-"
grid4×16,"time：timeout
results：-","time：timeout
results：-","time：timeout
results：-","time：timeout
results：-"
grid4×17,"time：timeout
results：-","time：timeout
results：-","time：timeout
results：-","time：timeout
results：-"
grid4×18,"time：timeout
results：-","time：timeout
results：-","time：timeout
results：-","time：timeout
results：-"
grid4×19,"time：timeout
results：-","time：timeout
results：-","time：timeout
results：-","time：timeout
results：-"
grid4×20,"time：timeout
results：-","time：timeout
results：-","time：timeout
results：-","time：timeout
results：-"
